Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
Simethicone,bismuth subsalicylate,Syncope,1.66667,Minor
Triamterene,gabapentin,Anaemia,1.28205,Minor
metaxalone,azelastine,Anaemia,20.0,Major
Betamethasone,Ketoconazole,Anaemia,1.25,Minor
mirabegron,Glucosamine,Dizziness,3.33333,Moderate
valsartan,Beclomethasone,Anaemia,1.66667,Minor
Probenecid,adalimumab,Dyspnoea,1.66667,Minor
Felodipine,Vitamin D,Anaemia,5.29412,Major
Morphine,Granisetron,Iron deficiency anaemia,3.33333,Moderate
Glutamine,lansoprazole,Anaemia,15.0,Major
irbesartan,montelukast,Anaemia,3.25581,Moderate
Paroxetine,Dextroamphetamine,Petechiae,3.33333,Moderate
Famotidine,Mupirocin,Anaemia,30.0,Major
Hydrocodone,morniflumate,Anaemia,3.33333,Moderate
Carbidopa,Magnesium Oxide,Anaemia,1.25,Minor
moxonidine,cinacalcet,Haemorrhagic anaemia,10.0,Major
Pentosan Polysulfate,Hydroxyzine,Anaemia,1.66667,Minor
Metformin,Progesterone,Anaemia,0.588235,Minor
oxybutynin,Clozapine,Anaemia,0.37037,Minor
Lisinopril,Prilocaine,Anaemia,3.33333,Moderate
Thymol,methyl salicylate,Anaemia,0.357143,Minor
Simvastatin,Calcium,Iron deficiency anaemia,3.04348,Moderate
Aminophylline,Cefuroxime,Syncope,3.33333,Moderate
Finasteride,dasatinib,Dyspnoea,1.11111,Minor
Clindamycin,Oxazepam,Anaemia,3.33333,Moderate
Acenocoumarol,Acyclovir,Anaemia,10.0,Major
Simvastatin,Hydroxychloroquine,Iron deficiency anaemia,3.33333,Moderate
Ribavirin,Thalidomide,Iron deficiency anaemia,3.33333,Moderate
Levetiracetam,Nicorandil,General physical health deterioration,10.0,Major
certolizumab pegol,loxoprofen,Anaemia,2.5,Moderate
Calcium Gluconate,Methotrexate,Anaemia,1.03448,Minor
dalfampridine,Doxepin,Dyspnoea,1.42857,Minor
lansoprazole,Amifostine,Pancytopenia,10.0,Major
Tacrolimus,Foscarnet,Anaemia,1.33333,Minor
Citalopram,gadoteridol,Petechiae,10.0,Major
brimonidine,Alendronate,Anaemia,2.85714,Moderate
Lamivudine,Gliclazide,Anaemia,3.33333,Moderate
lapatinib,Hydroxyzine,Neutropenia,6.66667,Major
interferon beta-1b,Solifenacin,Anaemia,2.0,Moderate
Fluorometholone,Trimethoprim,Anaemia,20.0,Major
candesartan,ramelteon,Anaemia,3.33333,Moderate
Labetalol,Acyclovir,Anaemia,1.25,Minor
Dipyridamole,Escitalopram,Anaemia,1.11111,Minor
duloxetine,Ranitidine,Iron deficiency anaemia,1.25,Minor
desmopressin,Somatropin,Anaemia,0.273973,Minor
Melatonin,Loratadine,Anaemia,1.66667,Minor
Omeprazole,Sodium Oxybate,Anaemia,1.76471,Minor
Lisinopril,colesevelam,Anaemia,1.11111,Minor
Escitalopram,Deoxycholate,Dyspnoea,1.11111,Minor
Citalopram,Eszopiclone,Anaemia,1.66667,Minor
Goserelin,clopidogrel,Anaemia,1.11111,Minor
calcium phosphate,Naproxen,Myocardial infarction,20.0,Major
Vitamin A,Melatonin,Anaemia,2.63158,Moderate
Vancomycin,zopiclone,Anaemia,2.22222,Moderate
Procyclidine,Chlorpromazine,Jaundice,3.33333,Moderate
6-Aminocaproic Acid,Sodium Chloride,Anaemia,10.0,Major
Lovastatin,exenatide,Anaemia,1.66667,Minor
enfuvirtide,Escitalopram,Anaemia,3.33333,Moderate
Ribavirin,peginterferon alfa-2a,Iron deficiency anaemia,0.42328,Minor
geranylgeranylacetone,celecoxib,Anaemia,1.42857,Minor
oxybutynin,colesevelam,Dizziness,1.66667,Minor
lamotrigine,lacosamide,Iron deficiency anaemia,1.25,Minor
Zinc Sulfate,Potassium Chloride,Anaemia,12.5,Major
Colchicine,apixaban,Pancytopenia,20.0,Major
Amlodipine,Miconazole,Anaemia,2.22222,Moderate
Niacin,topiramate,Anaemia,1.76471,Minor
Tramadol,Tryptophan,Diarrhoea,1.42857,Minor
rosiglitazone,Naproxen,Anaemia,1.92308,Minor
Betamethasone,orlistat,Dizziness,5.0,Major
Sucralfate,adalimumab,Anaemia,0.869565,Minor
Chlorthalidone,bortezomib,Anaemia,10.0,Major
bendamustine,Cladribine,Pancytopenia,10.0,Major
Alfacalcidol,letrozole,Bradycardia,10.0,Major
Ascorbic Acid,quinapril,Anaemia,4.44444,Moderate
emtricitabine,Buprenorphine,Anaemia,5.0,Major
Albendazole,Ivermectin,Anaemia,1.875,Minor
Phenytoin,Magnesium Oxide,Anaemia,4.54545,Moderate
prednisolone,"Lymphocyte Immune Globulin, Anti-Thymocyte Globulin",Petechiae,10.0,Major
Fenofibrate,Hydroxychloroquine,Anaemia,0.666667,Minor
Simvastatin,Lipase,Anaemia,1.17647,Minor
Enalapril,Vitamin B 12,Anaemia,3.52941,Moderate
Nortriptyline,pregabalin,Anaemia,0.784314,Minor
aminosalicylic acid,Ethionamide,Anaemia,6.66667,Major
Succinylcholine,Droperidol,Bradycardia,40.0,Major
Spironolactone,Indomethacin,Anaemia,8.75,Major
Polyethylene Glycol 400,Cetirizine,Anaemia,3.33333,Moderate
Timolol,Polyethylene Glycol 400,Hypoglycaemia,10.0,Major
Vancomycin,Sodium Oxybate,Anaemia,1.42857,Minor
Amoxicillin,Bupropion,Anaemia,3.23529,Moderate
levocetirizine,celecoxib,Anaemia,1.66667,Minor
Carboplatin,gefitinib,Anaemia,2.14286,Moderate
"Estrogens, Conjugated (USP)",Guanfacine,Bradycardia,10.0,Major
Glucose,Acetaminophen,Anaemia,4.2623,Moderate
olanzapine,varenicline,Anaemia,1.37931,Minor
fluticasone,eletriptan,Anaemia,1.66667,Minor
Ibuprofen,pembrolizumab,Dyspnoea,3.33333,Moderate
Vitamin D,Curcumin,Dyspnoea,1.66667,Minor
Calcium Carbonate,omalizumab,Anaemia,1.42857,Minor
prednisolone,latanoprost,Anaemia,0.37037,Minor
Chlorthalidone,peginterferon alfa-2a,Anaemia,20.0,Major
Furosemide,Aprotinin,Anaemia,0.37037,Minor
nebivolol,Clonazepam,Anaemia,0.625,Minor
liothyronine,Alprazolam,Anaemia,1.0,Minor
Psyllium,Potassium Chloride,Anaemia,3.125,Moderate
rofecoxib,Etodolac,Anaemia,15.7143,Major
Polymyxin B,Rabbit anti-human T-lymphocyte globulin,Anaemia,2.5,Moderate
pantoprazole,fulvestrant,Anaemia,40.0,Major
valacyclovir,Adenosine Triphosphate,Dizziness,3.33333,Moderate
adalimumab,orlistat,Tachycardia,10.0,Major
Magnesium Chloride,cinacalcet,Anaemia,1.11111,Minor
Etoposide,Allopurinol,Anaemia,3.96226,Moderate
Ondansetron,sevoflurane,Anaemia,1.66667,Minor
Vinblastine,Dacarbazine,Anaemia,1.36842,Minor
Losartan,Tacrolimus,Anaemia,4.23077,Moderate
Desvenlafaxine,clopidogrel,Anaemia,1.66667,Minor
moxonidine,tiotropium,Anaemia,3.33333,Moderate
butalbital,exenatide,Cardiac disorder,3.33333,Moderate
lormetazepam,pregabalin,Anaemia,1.42857,Minor
Ursodeoxycholate,Leucovorin,Anaemia,2.0,Moderate
Losartan,MYCOPHENOLATE,Anaemia,3.33333,Moderate
ferrous sulfate,trandolapril,Anaemia,20.0,Major
Alendronate,Cromolyn,Anaemia,3.33333,Moderate
darbepoetin alfa,adalimumab,Anaemia,5.0,Major
Aspirin,Sodium Chloride,Iron deficiency anaemia,2.85714,Moderate
duloxetine,Cetirizine,Anaemia,1.5,Minor
Amiloride,Haloperidol,Anaemia,3.33333,Moderate
Propionate,Tramadol,Cardiac disorder,3.33333,Moderate
Estradiol,rizatriptan,Anaemia,2.22222,Moderate
carvedilol,ciclesonide,Tachycardia,3.33333,Moderate
zaleplon,Insulin Lispro,Anaemia,10.0,Major
fexofenadine,Misoprostol,Anaemia,6.66667,Major
darbepoetin alfa,Hydroxyzine,Anaemia,15.0,Major
valacyclovir,Nicorandil,Anaemia,10.0,Major
palivizumab,Cefotaxime,Dyspnoea,6.66667,Major
Enalapril,zafirlukast,Atrial fibrillation,3.33333,Moderate
Ethinyl Estradiol,orlistat,Anaemia,1.11111,Minor
Docusate,Perindopril,Anaemia,4.44444,Moderate
Epinephrine,varenicline,Sinus bradycardia,10.0,Major
Carbidopa,Bupropion,Atrial fibrillation,1.42857,Minor
Diphenhydramine,mycophenolate mofetil,Anaemia,5.16129,Major
Daunorubicin,Naproxen,Anaemia,4.28571,Moderate
Acetaminophen,Trimebutine,Anaemia,3.0,Moderate
Epinephrine,Etomidate,Anaemia,1.66667,Minor
Lisinopril,MYCOPHENOLATE,Leukopenia,10.0,Major
Bendroflumethiazide,Sertraline,Neutropenia,1.42857,Minor
zolpidem,regadenoson,Anaemia,3.33333,Moderate
venlafaxine,Betamethasone,Anaemia,1.66667,Minor
olmesartan,Theophylline,Anaemia,1.11111,Minor
Cilazapril,Nitroglycerin,Anaemia,3.33333,Moderate
Guaifenesin,Doxazosin,Anaemia,4.0,Moderate
Sulpiride,Fentanyl,Cardiac arrest,2.85714,Moderate
Cholecalciferol,Amphotericin B,Coagulopathy,10.0,Major
Bromocriptine,Omeprazole,Anaemia,5.0,Major
Corticotropin,levothyroxine,Anaemia,3.33333,Moderate
Ergonovine,Oxytocin,Syncope,3.33333,Moderate
Nifedipine,Flunitrazepam,Anaemia,1.66667,Minor
salmeterol,zoledronic acid,Iron deficiency anaemia,4.0,Moderate
Clavulanate,Lithium Carbonate,Anaemia,5.0,Major
fluticasone,fulvestrant,Anaemia,40.0,Major
salmeterol,aliskiren,Leukocytosis,3.33333,Moderate
Famotidine,Baclofen,Anaemia,1.85185,Minor
Metformin,fingolimod,Anaemia,0.555556,Minor
Levodopa,Baclofen,Anaemia,0.909091,Minor
rizatriptan,Trazodone,Anaemia,1.42857,Minor
Amantadine,Magnesium Hydroxide,Anaemia,3.33333,Moderate
atorvastatin,sunitinib,Anaemia,3.33333,Moderate
tadalafil,Acyclovir,Anaemia,3.33333,Moderate
Carbocysteine,ciclesonide,Anaemia,4.28571,Moderate
ramelteon,Dextroamphetamine,Dizziness,2.5,Moderate
Erythromycin,Alendronate,Anaemia,2.5,Moderate
duloxetine,latanoprost,Anaemia,1.66667,Minor
rosuvastatin,desloratadine,Anaemia,1.53846,Minor
nefazodone,Clarithromycin,Anaemia,3.33333,Moderate
Diazepam,Meperidine,Anaemia,3.5,Moderate
Spironolactone,Paroxetine,Anaemia,4.15584,Moderate
Buprenorphine,alginic acid,Anaemia,3.33333,Moderate
lacosamide,Lorazepam,Anaemia,0.714286,Minor
Oxycodone,Zinc,Anaemia,1.66667,Minor
Glucose,pegfilgrastim,Anaemia,6.66667,Major
Vitamin A,Diltiazem,Iron deficiency anaemia,10.0,Major
dexlansoprazole,Memantine,Nausea,1.25,Minor
saxagliptin,fexofenadine,Anaemia,3.33333,Moderate
Felodipine,Somatropin,Tachycardia,2.5,Moderate
Flutamide,levothyroxine,Tachycardia,10.0,Major
Dexamethasone,Goserelin,Anaemia,10.0,Major
Erythromycin,Valproate,Anaemia,1.25,Minor
Chlorpheniramine,bendamustine,Anaemia,2.5,Moderate
Sertraline,standardized senna concentrate,Anaemia,1.0,Minor
Risedronate,zolmitriptan,Dizziness,1.66667,Minor
Norethindrone,terbinafine,Neutropenia,10.0,Major
Temazepam,Lithium,Anaemia,1.11111,Minor
Nortriptyline,thyroid (USP),Leukocytosis,10.0,Major
Rifampin,placebo,Anaemia,10.0,Major
fluticasone,temsirolimus,Anaemia,3.33333,Moderate
fluindione,Vancomycin,Anaemia,5.45455,Major
Benserazide,Esomeprazole,Anaemia,7.5,Major
Bupropion,Estrogens,Anaemia,3.33333,Moderate
Norethindrone,Cetirizine,Anaemia,2.0,Moderate
tizanidine,Dextroamphetamine,Anaemia,0.833333,Minor
infliximab,Morphine,Iron deficiency anaemia,10.0,Major
Nitrazepam,bevacizumab,Anaemia,5.0,Major
Hydrocortisone,Dexamethasone,Iron deficiency anaemia,1.53846,Minor
ertapenem,Baclofen,Chest pain,3.33333,Moderate
omalizumab,Calcium Citrate,Dyspnoea,2.5,Moderate
ferrous sulfate,WHEAT DEXTRIN,Anaemia,15.0,Major
drospirenone,Trimethoprim,Dizziness,1.57895,Minor
Pramipexole,Finasteride,Anaemia,1.42857,Minor
Warfarin,Tranexamic Acid,Anaemia,20.0,Major
Niacin,Nifedipine,Anaemia,1.66667,Minor
Cholestyramine Resin,Labetalol,Atrial fibrillation,10.0,Major
Chlorthalidone,pregabalin,Anaemia,2.22222,Moderate
tazobactam,lansoprazole,Anaemia,1.66667,Minor
formoterol,Levalbuterol,Anaemia,1.76471,Minor
Guaifenesin,Brompheniramine,Dyspnoea,1.42857,Minor
Cefazolin,Thiamylal,Pancytopenia,10.0,Major
nebivolol,anastrozole,Anaemia,1.42857,Minor
Methylphenidate,ziprasidone,Anaemia,0.952381,Minor
duloxetine,Prednisone,Iron deficiency anaemia,2.85714,Moderate
Phenytoin,levothyroxine,Anaemia,1.75676,Minor
Metformin,hydroxyurea,Anaemia,4.44444,Moderate
Furosemide,Somatropin,Anaemia,0.909091,Minor
Ibuprofen,Methenamine,Atrial fibrillation,20.0,Major
Aztreonam,Trazodone,Tachycardia,15.0,Major
Metronidazole,Sulfamethoxazole,Iron deficiency anaemia,1.66667,Minor
abatacept,nebivolol,Anaemia,3.33333,Moderate
Nortriptyline,Acetazolamide,Dizziness,2.5,Moderate
Vitamin K,Acyclovir,Anaemia,15.0,Major
tamsulosin,axitinib,Anaemia,3.33333,Moderate
Lidocaine,Filgrastim,Anaemia,15.0,Major
Acetaminophen,exenatide,Anaemia,0.769231,Minor
valsartan,Clarithromycin,Anaemia,1.72414,Minor
Vitamin A,Vitamin K,Anaemia,5.0,Major
Metformin,pitavastatin,Anaemia,2.66667,Moderate
Fosinopril,Pentoxifylline,Cardiac disorder,3.33333,Moderate
olmesartan,Trichlormethiazide,Iron deficiency anaemia,20.0,Major
alizapride,Doxorubicin,Anaemia,3.33333,Moderate
Pentoxifylline,Acenocoumarol,Dyspnoea,1.42857,Minor
Vitamin B6,ropinirole,Dizziness,1.25,Minor
Isosorbide Dinitrate,Lorazepam,Anaemia,2.94118,Moderate
Azathioprine,Gadopentetate Dimeglumine,Anaemia,5.0,Major
Vancomycin,Acyclovir,Iron deficiency anaemia,2.85714,Moderate
doripenem,Dopamine,Chest pain,1.25,Minor
Magnesium,varenicline,Anaemia,1.66667,Minor
Famotidine,Cetirizine,Anaemia,2.7451,Moderate
Hydrochlorothiazide,Phenytoin,Anaemia,3.39623,Moderate
Prazosin,Trazodone,Anaemia,1.0,Minor
aripiprazole,Loperamide,Anaemia,4.0,Moderate
Furosemide,ceftaroline,Anaemia,10.0,Major
Tretinoin,Theophylline,Acute myeloid leukaemia,20.0,Major
Acebutolol,adalimumab,Thrombocytopenia,3.33333,Moderate
butylscopolamine,lansoprazole,Anaemia,3.125,Moderate
Clobetasol,torsemide,Anaemia,3.33333,Moderate
Thiothixene,Haloperidol,Anaemia,1.33333,Minor
Triamterene,Vancomycin,Coagulopathy,10.0,Major
rasagiline,Solifenacin,Jaundice,10.0,Major
Amlodipine,Isosorbide Dinitrate,Iron deficiency anaemia,1.0,Minor
atorvastatin,Aprotinin,Anaemia,1.33333,Minor
Epinephrine,prednisolone,Anaemia,1.25,Minor
zoledronic acid,Pilocarpine,Anaemia,30.0,Major
coenzyme Q10,dimethyl fumarate,Dizziness,4.0,Moderate
valsartan,vilazodone,Dizziness,2.85714,Moderate
Ketotifen,Prednisone,Anaemia,3.33333,Moderate
prothipendyl,prednisolone,Acute myeloid leukaemia,10.0,Major
Esomeprazole,vildagliptin,Anaemia,3.33333,Moderate
Guanfacine,Insulin Glargine,Dizziness,3.33333,Moderate
Lactate,Verapamil,Anaemia,10.0,Major
Chlorthalidone,Calcium,Anaemia,4.0,Moderate
quetiapine,Lysine,Lymphadenopathy,10.0,Major
Domperidone,Fluorouracil,Anaemia,4.0,Moderate
Doxepin,Acyclovir,Anaemia,5.0,Major
Amantadine,Haloperidol,Anaemia,1.66667,Minor
Hydrocortisone,Oxazepam,Anaemia,1.42857,Minor
Atovaquone,Fluconazole,Anaemia,7.5,Major
candesartan,Daclizumab,Anaemia,5.0,Major
Phenytoin,pregabalin,Anaemia,0.535714,Minor
Epinephrine,Hydrocortisone,Anaemia,2.4,Moderate
Lactate,irbesartan,Anaemia,5.0,Major
infliximab,aminosalicylic acid,Anaemia,1.25,Minor
"insulin, isophane",Atenolol,Anaemia,3.57143,Moderate
"Insulin, Zinc, Human",Nitroglycerin,Syncope,3.33333,Moderate
Nitroglycerin,rofecoxib,Iron deficiency anaemia,27.5,Major
pregabalin,Hydromorphone,Iron deficiency anaemia,1.11111,Minor
Metformin,Clarithromycin,Anaemia,2.76596,Moderate
irinotecan,Iron,Iron deficiency anaemia,10.0,Major
Nefopam,Alprazolam,Anaemia,1.81818,Minor
Potassium,Mexiletine,Anaemia,10.0,Major
brimonidine,Sertraline,Anaemia,3.33333,Moderate
Cholecalciferol,Omega-3 Fatty Acids,Anaemia,1.66667,Minor
Ondansetron,Methotrexate,Iron deficiency anaemia,2.85714,Moderate
aripiprazole,lormetazepam,Thrombocytopenia,1.66667,Minor
Folic Acid,salmon calcitonin,Anaemia,10.0,Major
Doxycycline,irbesartan,Anaemia,1.42857,Minor
Omega-3 Acid Ethyl Esters (USP),zolpidem,Anaemia,1.11111,Minor
Omeprazole,Nicergoline,Leukocytosis,10.0,Major
Perphenazine,Clonazepam,Anaemia,1.5,Minor
Perphenazine,Haloperidol,Anaemia,0.952381,Minor
Amitriptyline,Atazanavir,Anaemia,4.28571,Moderate
Oxycodone,Estazolam,Anaemia,15.0,Major
Vitamin K,Leucovorin,Pancytopenia,20.0,Major
"Estrogens, Conjugated (USP)",Nortriptyline,Anaemia,0.833333,Minor
Simvastatin,ambrisentan,Iron deficiency anaemia,1.66667,Minor
Dalteparin,Oxycodone,Anaemia,3.68421,Moderate
Bisoprolol,Mannitol,Pancytopenia,10.0,Major
candesartan,ciclesonide,Tachycardia,20.0,Major
Albuterol,tamsulosin,Iron deficiency anaemia,1.53846,Minor
Nortriptyline,Misoprostol,Splenomegaly,10.0,Major
silodosin,sunitinib,Anaemia,6.66667,Major
lenalidomide,Benztropine,Anaemia,3.33333,Moderate
Haloperidol,Fusidate,Chest pain,3.33333,Moderate
ramelteon,Simvastatin,Anaemia,1.42857,Minor
Omeprazole,placebo,Anaemia,2.66667,Moderate
Bupropion,almotriptan,Anaemia,3.33333,Moderate
Glipizide,Omega-3 Acid Ethyl Esters (USP),Anaemia,1.66667,Minor
donepezil,Bupropion,Anaemia,0.416667,Minor
quetiapine,Allopurinol,Iron deficiency anaemia,1.66667,Minor
Factor VIIa,Lorazepam,Anaemia,5.0,Major
Testosterone,Alprazolam,Anaemia,1.39535,Minor
Pentamidine,Fentanyl,Anaemia,6.66667,Major
Lorazepam,Methyldopa,Anaemia,10.0,Major
Niacin,"Regular Insulin, Human",Anaemia,8.57143,Major
Hydrocodone,levocetirizine,Anaemia,5.0,Major
Bleomycin,bevacizumab,Neutropenia,10.0,Major
Eszopiclone,Water,Dizziness,4.28571,Moderate
tenofovir disoproxil,lamotrigine,Anaemia,2.5,Moderate
Procyclidine,levothyroxine,Anaemia,1.25,Minor
rosuvastatin,Glucosamine,Anaemia,1.89189,Minor
rivaroxaban,bortezomib,Anaemia,3.33333,Moderate
pasireotide,levothyroxine,Anaemia,7.5,Major
Prazosin,Cyclosporine,Anaemia,10.0,Major
Omeprazole,Pheniramine,Dyspnoea,3.33333,Moderate
Cycloserine,Ofloxacin,Anaemia,2.5,Moderate
teriflunomide,dimethyl fumarate,Dyspnoea,0.833333,Minor
Amiloride,Daunorubicin,Anaemia,3.33333,Moderate
Brompheniramine,Hydromorphone,Death,1.0,Minor
Aspirin,Immunoglobulin A,Anaemia,2.5,Moderate
Melphalan,Escitalopram,Anaemia,20.0,Major
olanzapine,celecoxib,Iron deficiency anaemia,3.33333,Moderate
Amlodipine,Ursodeoxycholate,Iron deficiency anaemia,1.42857,Minor
brentuximab vedotin,Levofloxacin,Tachycardia,10.0,Major
valsartan,rifaximin,Leukocytosis,20.0,Major
tapentadol,Oxycodone,Anaemia,0.666667,Minor
Fentanyl,sevoflurane,Anaemia,0.324675,Minor
Fiber,Ibuprofen,Anaemia,5.0,Major
Trimethoprim,heparin,Anaemia,4.64286,Moderate
Esomeprazole,dalfampridine,Thrombocytopenia,1.66667,Minor
Ibandronate,venlafaxine,Anaemia,1.25,Minor
Omeprazole,riociguat,Anaemia,5.0,Major
Bumetanide,Oxytocin,Arthralgia,5.0,Major
POLYETHYLENE GLYCOL 3350,vardenafil,Anaemia,10.0,Major
Hydrocortisone,Somatropin,Iron deficiency anaemia,1.11111,Minor
pantoprazole,Terazosin,Anaemia,2.96296,Moderate
saxagliptin,pregabalin,Anaemia,1.25,Minor
certolizumab pegol,Diphenoxylate,Anaemia,1.42857,Minor
Flavoxate,Potassium Chloride,Dizziness,3.33333,Moderate
Metformin,anakinra,Anaemia,3.33333,Moderate
fluticasone,Deoxycholate,Anaemia,3.33333,Moderate
Sulfamethoxazole,Ticlopidine,Anaemia,5.0,Major
Citalopram,tiotropium,Iron deficiency anaemia,2.85714,Moderate
Niacin,Diazepam,Anaemia,5.0,Major
Loratadine,Calcium,Iron deficiency anaemia,4.0,Moderate
meropenem,Caspofungin,Anaemia,0.952381,Minor
Lisdexamfetamine,Valproate,Anaemia,1.42857,Minor
Fenofibrate,Prednisone,Iron deficiency anaemia,1.66667,Minor
lanthanum carbonate,Magnesium Oxide,Anaemia,3.33333,Moderate
lapatinib,Bupropion,Anaemia,2.0,Moderate
Clozapine,adalimumab,Neutropenia,10.0,Major
gabapentin,tesamorelin,Dyspnoea,1.42857,Minor
Calcium Chloride,Sodium Chloride,Iron deficiency anaemia,0.131579,Minor
Activated Charcoal,brotizolam,Anaemia,3.33333,Moderate
Hydrochlorothiazide,Didanosine,Chest pain,3.33333,Moderate
Albuterol,temsirolimus,Anaemia,6.66667,Major
vilazodone,dimethyl fumarate,Vision blurred,3.33333,Moderate
Benzoyl Peroxide,Digoxin,Anaemia,6.66667,Major
Zinc Sulfate,Trazodone,Anaemia,5.0,Major
drospirenone,sibutramine,Palpitations,10.0,Major
Dipyridamole,Bendroflumethiazide,Neutrophilia,30.0,Major
infliximab,Fusidate,Dyspnoea,1.42857,Minor
Levetiracetam,Lisinopril,Iron deficiency anaemia,6.66667,Major
rosuvastatin,trandolapril,Anaemia,4.28571,Moderate
oxybutynin,Amphotericin B,Anaemia,5.0,Major
Disulfiram,Bupropion,Anaemia,5.0,Major
Hydrocodone,ziprasidone,Anaemia,1.31579,Minor
Pancreatin,Lorazepam,Tachycardia,10.0,Major
Metformin,exenatide,Iron deficiency anaemia,1.45038,Minor
Fenofibrate,manidipine,Dyspnoea,3.33333,Moderate
Levetiracetam,Morphine,Iron deficiency anaemia,1.42857,Minor
cinacalcet,iron sucrose,Anaemia,2.5,Moderate
lamotrigine,mycophenolate mofetil,Anaemia,2.5,Moderate
donepezil,Estazolam,Anaemia,3.33333,Moderate
Fosinopril,Loratadine,Anaemia,1.66667,Minor
ipilimumab,infliximab,Pancytopenia,10.0,Major
Tacrolimus,Ketamine,Diarrhoea,2.0,Moderate
varenicline,Phenazopyridine,Bradycardia,10.0,Major
pipamperone,Clonazepam,Atrioventricular block complete,10.0,Major
propiomazine,Alfacalcidol,Anaemia,10.0,Major
ezetimibe,mirabegron,Dizziness,3.33333,Moderate
meropenem,Metronidazole,Iron deficiency anaemia,3.33333,Moderate
valsartan,dofetilide,Anaemia,1.25,Minor
Losartan,boceprevir,Anaemia,10.0,Major
Prazosin,fluvastatin,Anaemia,3.33333,Moderate
Lovastatin,ferrous sulfate,Anaemia,4.66667,Moderate
potassium bicarbonate,Metoclopramide,Jaundice,10.0,Major
Ibuprofen,Cholesterol,Dizziness,1.42857,Minor
Diflunisal,Etanercept,Dizziness,3.33333,Moderate
ASPARAGINASE,Thioguanine,Anaemia,1.78571,Minor
Magnesium Chloride,Carboplatin,Anaemia,5.0,Major
Dicyclomine,Baclofen,Anaemia,1.0,Minor
crizotinib,Hydromorphone,Anaemia,3.33333,Moderate
Colchicine,Cyclizine,Pancytopenia,30.0,Major
Glucose,Meclizine,Anaemia,3.33333,Moderate
Capsaicin,tiotropium,Dyspnoea,1.66667,Minor
tadalafil,Bendroflumethiazide,Dizziness,2.0,Moderate
Phenprocoumon,Bromazepam,Anaemia,5.0,Major
Lorazepam,tolvaptan,Anaemia,3.33333,Moderate
Nadolol,sorafenib,Anaemia,5.0,Major
Probenecid,Nitroglycerin,Cardiac disorder,3.33333,Moderate
cyclobenzaprine,celecoxib,Iron deficiency anaemia,1.42857,Minor
insulin detemir,Insulin Glargine,Anaemia,1.50943,Minor
Buspirone,Copper,Dizziness,3.33333,Moderate
Cholecalciferol,Doxazosin,Anaemia,1.42857,Minor
"Estrogens, Conjugated (USP)",Calcium Citrate,Anaemia,3.75,Moderate
Somatropin,Sodium Oxybate,Atrial fibrillation,3.33333,Moderate
Chlorpheniramine,coenzyme Q10,Anaemia,5.0,Major
doxorubicin liposome,Filgrastim,Anaemia,10.0,Major
Biperiden,Lorazepam,Anaemia,1.22807,Minor
Meprobamate,Fentanyl,Anaemia,1.66667,Minor
Fluoxetine,teriflunomide,Dizziness,1.42857,Minor
Lisinopril,Leucovorin,Anaemia,2.54545,Moderate
tamsulosin,WHEAT DEXTRIN,Pancytopenia,10.0,Major
Flunitrazepam,Selenium,Drug rash with eosinophilia and systemic symptoms,10.0,Major
Codeine,Pizotyline,Anaemia,5.0,Major
degarelix,Losartan,Anaemia,5.0,Major
Diltiazem,Interferon beta-1a,Anaemia,4.0,Moderate
clopidogrel,Protamine Sulfate (USP),Anaemia,0.666667,Minor
Captopril,Interferon beta-1a,Anaemia,2.85714,Moderate
Etanercept,golimumab,Anaemia,0.2,Minor
Propoxyphene,Clonazepam,Iron deficiency anaemia,1.66667,Minor
salmeterol,lanthanum carbonate,Atrial fibrillation,10.0,Major
Spironolactone,Propofol,Anaemia,13.3333,Major
Doxycycline,Clozapine,Thrombocytopenia,3.33333,Moderate
Clozapine,urapidil,Anaemia,10.0,Major
gadodiamide,Epoetin Alfa,Anaemia,1.16279,Minor
darunavir,atorvastatin,Anaemia,1.0,Minor
zolpidem,exenatide,Anaemia,1.17647,Minor
alverine,levothyroxine,Jaundice,20.0,Major
Leuprolide,Desvenlafaxine,Chest pain,3.33333,Moderate
Sotalol,adalimumab,Anaemia,0.714286,Minor
Tacrolimus,meloxicam,Anaemia,1.42857,Minor
Folic Acid,Chondroitin Sulfates,Anaemia,1.36364,Minor
thyroid (USP),Glatiramer,Dizziness,3.33333,Moderate
Dalteparin,Ondansetron,Anaemia,4.44444,Moderate
varenicline,Levalbuterol,Anaemia,1.11111,Minor
Furosemide,Molsidomine,Anaemia,2.77778,Moderate
Terbutaline,Diclofenac,Anaemia,3.33333,Moderate
